Id;Antecedente1;Antecedente2;Antecedente3;Antecedente4;Consecuente;%h
135;right;far;far;far;small_right;100,0
54;small_left;far;far;far;small_left;100,0
81;zero;far;far;far;zero;100,0
54;small_left;far;far;far;small_left;100,0
54;small_left;far;far;far;small_left;100,0
54;small_left;far;far;far;small_left;100,0
54;small_left;far;far;far;small_left;100,0
54;small_left;far;far;far;small_left;100,0
81;zero;far;far;far;zero;100,0
81;zero;far;far;far;zero;100,0
54;small_left;far;far;far;small_left;100,0
135;right;far;far;far;small_right;100,0
54;small_left;far;far;far;small_left;100,0
108;small_right;far;far;far;small_right;100,0
135;right;far;far;far;small_right;100,0
135;right;far;far;far;small_right;100,0
81;zero;far;far;far;zero;100,0
135;right;far;far;far;small_right;100,0
135;right;far;far;far;small_right;100,0
135;right;far;far;far;small_right;100,0
54;small_left;far;far;far;small_left;100,0
54;small_left;far;far;far;small_left;100,0
54;small_left;far;far;far;small_left;100,0
54;small_left;far;far;far;small_left;100,0
135;right;far;far;far;small_right;100,0
81;zero;far;far;far;zero;100,0
108;small_right;far;far;far;small_right;100,0
81;zero;far;far;far;zero;100,0
135;right;far;far;far;small_right;100,0
54;small_left;far;far;far;small_left;100,0
81;zero;far;far;far;zero;100,0
135;right;far;far;far;small_right;100,0
54;small_left;far;far;far;small_left;100,0
54;small_left;far;far;far;small_left;100,0
54;small_left;far;far;far;small_left;100,0
135;right;far;far;far;small_right;100,0
108;small_right;far;far;far;small_right;100,0
108;small_right;far;far;far;small_right;100,0
54;small_left;far;far;far;small_left;100,0
81;zero;far;far;far;zero;100,0
135;right;far;far;far;small_right;100,0
54;small_left;far;far;far;small_left;100,0
108;small_right;far;far;far;small_right;100,0
135;right;far;far;far;small_right;100,0
135;right;far;far;far;small_right;100,0
135;right;far;far;far;small_right;100,0
54;small_left;far;far;far;small_left;100,0
54;small_left;far;far;far;small_left;100,0
135;right;far;far;far;small_right;100,0
81;zero;far;far;far;zero;100,0
54;small_left;far;far;far;small_left;100,0
135;right;far;far;far;small_right;100,0